clean_label,common_name,water,light,tips
african_violet,African Violet (Saintpaulia ionantha),"Keep soil moist, avoid getting water on leaves","Bright, indirect",Use a specialized African Violet fertilizer.
aloe_vera,Aloe Vera,Every 2-3 weeks,Direct sunlight,Allow soil to dry completely between waterings.
anthurium,Anthurium (Anthurium andraeanum),Weekly,"Bright, indirect",High humidity is key; mist regularly.
areca_palm,Areca Palm (Dypsis lutescens),Weekly,"Bright, indirect",Prefers consistently moist but well-draining soil.
asparagus_fern,Asparagus Fern (Asparagus setaceus),Keep soil moist,"Bright, indirect",Keep away from cold drafts.
begonia,Begonia (Begonia spp.),Weekly,"Bright, indirect",Allow top inch of soil to dry before watering.
bird_of_paradise,Bird of Paradise (Strelitzia reginae),Every 1-2 weeks,"Bright, direct/indirect",Thrives with occasional cleaning of its large leaves.
birds_nest_fern,Birds Nest Fern (Asplenium nidus),Keep soil moist,"Low to medium, indirect",Avoid watering directly into the center of the crown.
boston_fern,Boston Fern (Nephrolepis exaltata),Keep soil consistently moist,"Bright, indirect",High humidity and cool temperatures are ideal.
calathea,Calathea,Weekly,"Medium to low, indirect",Prefers filtered water to avoid leaf tip browning.
cast_iron_plant,Cast Iron Plant (Aspidistra elatior),Every 2 weeks,"Low, indirect",Extremely hardy; dust leaves regularly.
chinese_evergreen,Chinese evergreen (Aglaonema),Every 1-2 weeks,"Low to medium, indirect",Let soil dry slightly between waterings.
chinese_money_plant,Chinese Money Plant (Pilea peperomioides),Weekly,"Bright, indirect",Rotate the pot regularly for uniform growth.
christmas_cactus,Christmas Cactus (Schlumbergera bridgesii),Every 1-2 weeks,"Bright, indirect",Needs cooler temperatures in fall to bloom.
chrysanthemum,Chrysanthemum,Keep soil moist,"Bright, direct",Deadhead spent blooms to encourage new growth.
ctenanthe,Ctenanthe,Weekly,"Medium, indirect",Requires high humidity; mist daily.
daffodils,Daffodils (Narcissus spp.),Keep moist until finished blooming,"Bright, direct","After blooming, let foliage yellow before cutting."
dracaena,Dracaena,Every 2 weeks,"Medium to low, indirect",Very sensitive to fluoride in tap water.
dumb_cane,Dumb Cane (Dieffenbachia spp.),Weekly,"Medium, indirect",All parts are toxic; keep away from pets/kids.
elephant_ear,Elephant Ear (Alocasia spp.),Keep moist,"Bright, indirect",Requires high humidity and warmth.
english_ivy,English Ivy (Hedera helix),Weekly,"Bright, indirect",Keep away from heaters and cold drafts.
hyacinth,Hyacinth (Hyacinth orientalis),Keep moist,"Bright, indirect",Plant bulbs in cool location before blooming.
iron_cross_begonia,Iron Cross begonia (Begonia masoniana),Weekly,"Bright, indirect",Avoid wetting the textured leaves.
jade_plant,Jade plant (Crassula ovata),Every 3-4 weeks,"Bright, direct",Do not overwater; treat like a succulent.
kalanchoe,Kalanchoe,Every 2-3 weeks,"Bright, indirect/direct",Let soil dry out significantly between waterings.
lilium,Lilium (Hemerocallis),Keep moist,"Bright, indirect",Ensure pot has excellent drainage.
lily_of_the_valley,Lily of the valley (Convallaria majalis),Keep moist,Partial shade,"Best in cool, shady spots."
money_tree,Money Tree (Pachira aquatica),Every 2 weeks,"Bright, indirect",Does not like to be moved; avoid drafts.
monstera_delicosa,Monstera Delicosa (Monstera deliciosa),Weekly,Indirect,Keep soil moist
orchid,Orchid,Every 1-2 weeks (soak method),"Bright, indirect","Use specialized orchid bark medium, never soil."
parlor_palm,Parlor Palm (Chamaedorea elegans),Every 1-2 weeks,"Medium to low, indirect",Excellent for low-light corners.
peace_lily,Peace lily,Weekly,"Low to medium, indirect",Will droop obviously when it needs water.
poinsettia,Poinsettia (Euphoria pulcherrima),Keep moist,"Bright, indirect",Requires total darkness for 14 hours/day to re-bloom.
polka_dot_plant,Polka Dot Plant (Hypoestes phyllostachya),Keep moist,"Bright, indirect",Pinch back stems to keep plant bushy.
ponytail_palm,Ponytail Palm (Beaucarnea recurvata),Every 3-4 weeks,"Bright, indirect/direct",Stores water in its bulbous base; do not overwater.
pothos,Pothos (Ivy arum),Weekly,"Low to bright, indirect",Very easy to propagate in water.
prayer_plant,Prayer Plant (Maranta leuconeura),Weekly,"Medium to low, indirect","Avoid cold water, which can shock roots."
rattlesnake_plant,Rattlesnake Plant (Calathea lancifolia),Weekly,"Medium to low, indirect",Thrives in high humidity environments.
rubber_plant,Rubber Plant (Ficus elastica),Every 1-2 weeks,"Bright, indirect",Wipe leaves to prevent dust accumulation.
sago_palm,Sago Palm (Cycas revoluta),Every 2 weeks,"Bright, direct",Extremely slow growing; toxic if ingested.
schefflera,Schefflera,Weekly,"Bright, indirect",Keep away from cold air vents.
snake_plant,Snake plant (Sanseviera),Every 3-4 weeks,Any (very tolerant),"If in doubt, don't water."
tradescantia,Tradescantia,Weekly,"Bright, indirect",Pinch tips to keep stems from getting leggy.
tulip,Tulip,Keep moist,"Bright, indirect",Bulbs need chilling before they will bloom.
venus_flytrap,Venus Flytrap,Keep consistently moist (distilled only),Full sun,Never fertilize; they get nutrients from insects.
yucca,Yucca,Every 3 weeks,"Bright, direct",Very drought tolerant; needs excellent drainage.
zz_plant,ZZ Plant (Zamioculcas zamiifolia),Every 3-4 weeks,"Low to bright, indirect",Can tolerate neglect better than most plants.
